Asset,Split,Statistic,Value,DailyBlockBootstrap_SE,DailyBlockBootstrap_Blocks,WeeklyBlockBootstrap_SE,WeeklyBlockBootstrap_Blocks,Batch_SE,Batches,Bootstrap_Replications
SOL,train,std,0.004514117500555072,0.00016547805658585014,1095,0.00027244390980688617,157,0.00020860533818117203,100,500
SOL,train,skewness,0.6569312435708191,0.4491341233162489,1095,0.5017174264153135,157,0.2664387778299468,100,500
SOL,train,kurtosis,101.95256550793971,21.83259956299614,1095,23.88977284276489,157,9.467506007499846,100,500
SOL,validation,mean,5.8830106683995255e-06,7.343933201540942e-06,366,8.58800381738925e-06,53,7.897514273558723e-06,100,500
SOL,validation,std,0.0030011513343081203,0.00010774114496290793,366,0.00014705009904016818,53,0.00011058191599943546,100,500
SOL,validation,skewness,-1.1271814218104004,0.7664583115302012,366,0.759461441245795,53,0.13954543265077096,100,500
SOL,validation,kurtosis,108.82169884282457,60.05641407687329,366,55.89419628986498,53,3.469333671761612,100,500
SOL,test,mean,-3.9752855114680945e-06,8.30311923861921e-06,365,7.921812351107129e-06,53,7.726790833507033e-06,100,500
SOL,test,std,0.0028192493819335085,0.00018130929036253973,365,0.0002034581299245284,53,0.0001169858255260884,100,500
SOL,test,skewness,-2.327252541134331,1.8544736143992242,365,1.8313914087711938,53,0.1008634475303017,100,500
SOL,test,kurtosis,504.2494254008403,344.4061757274126,365,346.1062463394944,53,3.048294284849971,100,500
SOL,recent,mean,-2.8782324927083283e-05,2.3096372181739143e-05,50,2.2367864546193005e-05,8,2.0690161144534945e-05,100,500
SOL,recent,std,0.0026244936375201706,0.00027555516909607343,50,0.00043337075901491096,8,0.0001381042358262284,100,500
SOL,recent,skewness,-1.0475604325982826,0.9251835930809569,50,0.6709043051917686,8,0.1095858538280217,100,500
SOL,recent,kurtosis,69.9753211061869,36.85113614465384,50,31.442263646118658,8,0.6800225984010511,100,500
