Asset,Split,lag,empirical_acf,ou_implied_acf,abs_error,squared_error
BTC,train,209,-0.02899185671465734,1.6371784113726744e-12,0.02899185671629452,0.0008405277558581517
BTC,train,210,-0.027821558330533878,1.4378186880995249e-12,0.027821558331971696,0.0007740391080193037
BTC,train,211,-0.027156371064144865,1.2627350602033133e-12,0.0271563710654076,0.0007374684894421072
BTC,train,212,-0.026017429740454855,1.108971420015578e-12,0.026017429741563826,0.0006769066503572099
BTC,train,213,-0.02505634812279687,9.73931626016113e-13,0.025056348123770802,0.0006278205812995926
BTC,train,214,-0.023533831178375972,8.553356696433759e-13,0.02353383117923131,0.0005538412099725596
BTC,train,215,-0.022637945486436863,7.51181179685994e-13,0.022637945487188043,0.0005124765758808974
BTC,train,216,-0.021964925906458422,6.59709614296467e-13,0.02196492590711813,0.0004824579701051892
BTC,train,217,-0.022615161679980688,5.793765698138508e-13,0.022615161680560065,0.0005114455378378723
BTC,train,218,-0.02363200314448359,5.088257050903217e-13,0.023632003144992416,0.0005584715726449314
BTC,train,219,-0.024482789057554032,4.468658410605847e-13,0.024482789058000897,0.0005994069600585685
BTC,train,220,-0.02386059270299336,3.9245084890382443e-13,0.02386059270338581,0.0005693278841568682
BTC,train,221,-0.022306958092302577,3.4466198723041617e-13,0.02230695809264724,0.0004976003793471202
BTC,train,222,-0.0208246089534807,3.026923900748936e-13,0.02082460895378339,0.00043366433807799534
BTC,train,223,-0.020737853713796828,2.658334437908269e-13,0.02073785371406266,0.00043005857666586245
BTC,train,224,-0.020970631035611816,2.3346282283543985e-13,0.020970631035845278,0.0004397673660415572
BTC,train,225,-0.02086237261512393,2.0503398244044706e-13,0.020862372615328965,0.0004352385911408279
BTC,train,226,-0.019008965278236215,1.8006693076362482e-13,0.019008965278416282,0.0003613407609560358
BTC,train,227,-0.01688980604207864,1.5814012471834888e-13,0.01688980604223678,0.0002852655481443781
BTC,train,228,-0.015328587957759144,1.3888335265048482e-13,0.015328587957898028,0.00023496560878301641
BTC,train,229,-0.01566328693765104,1.219714836939223e-13,0.01566328693777301,0.0002453385576950106
BTC,train,230,-0.016895529064017402,1.0711897826902595e-13,0.01689552906412452,0.0002854589023566764
BTC,train,231,-0.017704773552458076,9.40750670393937e-14,0.01770477355255215,0.00031345900654715006
BTC,train,232,-0.01709352955845441,8.261951692854673e-14,0.01709352955853703,0.0002921887527685791
BTC,train,233,-0.015570590235958515,7.255891271008136e-14,0.015570590236031074,0.0002424432802983862
BTC,train,234,-0.014152998805492489,6.372339138974209e-14,0.014152998805556212,0.00020030737519007556
BTC,train,235,-0.01360533170148736,5.59637742428032e-14,0.013605331701543323,0.00018510505070901974
BTC,train,236,-0.012940986948360976,4.914904808414841e-14,0.012940986948410125,0.00016746914319892118
BTC,train,237,-0.011648537286797461,4.316415324487476e-14,0.011648537286840625,0.00013568842092291633
BTC,train,238,-0.008679290606573513,3.790804090767193e-14,0.00867929060661142,7.533008543401323e-05
BTC,train,239,-0.005758646547546186,3.3291967001075314e-14,0.005758646547579478,3.316201005994905e-05
BTC,train,240,-0.003527589941669568,2.923799384674547e-14,0.003527589941698806,1.2443890796774585e-05
BTC,train,241,-0.003319638744566542,2.5677674261623368e-14,0.0033196387445922197,1.1020001394597809e-05
BTC,train,242,-0.0035136010409001954,2.2550895897374562e-14,0.0035136010409227464,1.2345392274773407e-05
BTC,train,243,-0.00380316802360621,1.9804866304977977e-14,0.0038031680236260148,1.4464087015931408e-05
BTC,train,244,-0.0033652030852072,1.7393221588314672e-14,0.003365203085224593,1.1324591804805121e-05
BTC,train,245,-0.0032271842094961137,1.5275243597285773e-14,0.003227184209511389,1.0414717922119647e-05
BTC,train,246,-0.0028285146510442795,1.3415172443567366e-14,0.0028285146510576946,8.000495131248032e-06
BTC,train,247,-0.002410025896050508,1.1781602731535303e-14,0.00241002589606229,5.8082248196908435e-06
BTC,train,248,-0.0017634923201043358,1.0346953310337674e-14,0.0017634923201146828,3.1099051631034666e-06
BTC,train,249,-0.000979539808237118,9.087001594421989e-15,0.000979539808246205,9.59498235939012e-07
BTC,train,250,0.0005723872402488999,7.980474589996287e-15,0.0005723872402409194,3.27627152790616e-07
BTC,train,251,0.0027585554494167232,7.008689722325013e-15,0.0027585554494097145,7.609628167468032e-06
BTC,train,252,0.004601298695540419,6.15523939959655e-15,0.004601298695534263,2.1171949685525313e-05
BTC,train,253,0.004981918746864451,5.405713987546497e-15,0.004981918746859045,2.48195144003056e-05
BTC,train,254,0.004797061155639275,4.747458517547053e-15,0.004797061155634528,2.301179573089767e-05
BTC,train,255,0.0049238442067689354,4.169359020427863e-15,0.004923844206764766,2.4244241772490947e-05
BTC,train,256,0.00621036643307303,3.661654878493817e-15,0.006210366433069368,3.8568651232994743e-05
BTC,train,257,0.007981150071087115,3.215774027495876e-15,0.007981150071083899,6.369875645716252e-05
BTC,train,258,0.010141865750513554,2.8241882261090625e-15,0.01014186575051073,0.00010285744090138256
BTC,train,259,0.012289506504192117,2.4802859492910312e-15,0.012289506504189637,0.00015103197011651938
BTC,train,260,0.014821808982748758,2.1782607594558208e-15,0.014821808982746579,0.00021968602152102717
BTC,train,261,0.017623605408547093,1.9130132707244158e-15,0.01762360540854518,0.00031059146759610293
BTC,train,262,0.021050833179325705,1.6800650510189531e-15,0.021050833179324026,0.0004431375775437293
BTC,train,263,0.023833840016317973,1.4754830083256318e-15,0.0238338400163165,0.0005680519299233696
BTC,train,264,0.025320726781564606,1.2958129844658598e-15,0.025320726781563312,0.0006411392047465775
BTC,train,265,0.025097567538113083,1.1380214351744963e-15,0.025097567538111945,0.0006298878963300904
BTC,train,266,0.02496410614397494,9.994442118130676e-16,0.02496410614397394,0.0006232065955675975
BTC,train,267,0.026187784145296225,8.777415799496618e-16,0.026187784145295347,0.0006858000384405824
BTC,train,268,0.028636778442233793,7.708587153403085e-16,0.028636778442233023,0.000820065079549542
BTC,train,269,0.031110117050187,6.7699101032696815e-16,0.031110117050186323,0.0009678393828762938
BTC,train,270,0.03260327037025235,5.945536048862047e-16,0.032603270370251757,0.0010629732388357362
BTC,train,271,0.03357619841857385,5.221546278915184e-16,0.03357619841857333,0.0011273611002434061
BTC,train,272,0.03463222007543155,4.585716967954696e-16,0.03463222007543109,0.0011993906673530923
BTC,train,273,0.03623383215872545,4.027312789528029e-16,0.03623383215872505,0.0013128905929066575
BTC,train,274,0.03823520484848639,3.5369056612166104e-16,0.03823520484848603,0.0014619308898056898
BTC,train,275,0.03968244795209495,3.106215561124109e-16,0.039682447952094635,0.0015746966754706998
BTC,train,276,0.04051517024738582,2.727970728190326e-16,0.04051517024738555,0.0016414790201746356
BTC,train,277,0.04039040170324943,2.395784885956252e-16,0.04039040170324919,0.001631384549749835
BTC,train,278,0.03985407030614111,2.1040494168293567e-16,0.0398540703061409,0.001588346919966822
BTC,train,279,0.03972730785958214,1.8478386663220627e-16,0.03972730785958195,0.0015782589897700018
BTC,train,280,0.04117717284925536,1.6228267784224881e-16,0.0411771728492552,0.0016955595638574396
BTC,train,281,0.044734035103355795,1.4252146579479048e-16,0.04473403510335565,0.0020011338966282556
BTC,train,282,0.048528552901993705,1.2516658267150859e-16,0.04852855290199358,0.0023550204467615893
BTC,train,283,0.05135370063055806,1.0992500905246971e-16,0.05135370063055795,0.002637202568452968
BTC,train,284,0.05351165711215223,9.653940658344818e-17,0.05351165711215213,0.002863497446888542
BTC,train,285,0.05659048692002791,8.478377308148083e-17,0.05659048692002783,0.0032024832098458407
BTC,train,286,0.062324684275899135,7.445962671956673e-17,0.06232468427589906,0.0038843662700904992
BTC,train,287,0.06868828457707593,6.539265486438032e-17,0.06868828457707586,0.004718080438141358
BTC,train,288,0.07369262597473751,5.74297709860564e-17,0.07369262597473746,0.005430603123052549
BTC,train,289,0.07403380214817341,5.04365299489839e-17,0.07403380214817336,0.005481003860514878
BTC,train,290,0.07118820122338843,4.429485804344195e-17,0.07118820122338838,0.0050677599934216356
