Asset,fast_hl_bars,slow_hl_bars,fast_hl_hours,slow_hl_hours,train_Mean_MAE,validation_Mean_MAE
XRP,3,144,0.25,12.0,0.012556214602005525,0.009978141397773983
XRP,3,288,0.25,24.0,0.009407917284318933,0.007687086733597296
XRP,3,576,0.25,48.0,0.016846605990629232,0.015233773801739212
XRP,3,1008,0.25,84.0,0.030665170037323886,0.028405875067784893
XRP,3,2016,0.25,168.0,0.05862184028480576,0.053479220785354206
XRP,6,72,0.5,6.0,0.019809794668475218,0.015878715212134485
XRP,6,144,0.5,12.0,0.013895623159502261,0.011041604794296781
XRP,6,288,0.5,24.0,0.010597600640901166,0.008622766986276655
XRP,6,576,0.5,48.0,0.01747871073081069,0.015733738131057728
XRP,6,1008,0.5,84.0,0.030743196747390178,0.028482115141448987
XRP,6,2016,0.5,168.0,0.058024602860272396,0.05305208668459932
XRP,12,72,1.0,6.0,0.021573852630408726,0.017304623263916047
XRP,12,144,1.0,12.0,0.01569942069546382,0.01250002001733409
XRP,12,288,1.0,24.0,0.012218428827703132,0.009930356085504115
XRP,12,576,1.0,48.0,0.018420568782414326,0.016455108644733957
XRP,12,1008,1.0,84.0,0.030972184358296476,0.02860933013589916
XRP,12,2016,1.0,168.0,0.05737483762533745,0.05242826654432436
XRP,24,72,2.0,6.0,0.024004969111155405,0.019281691764949347
XRP,24,144,2.0,12.0,0.018169044450955456,0.01451852447343363
XRP,24,288,2.0,24.0,0.014465964529564012,0.011776502483616922
XRP,24,576,2.0,48.0,0.01985525120499203,0.01760651682650986
XRP,24,1008,2.0,84.0,0.03147837580855384,0.02897523925770993
XRP,24,2016,2.0,168.0,0.05669863475347757,0.05163752146797554
SOL,1,72,0.08333333333333333,6.0,0.023449259886827525,0.01650357349741022
SOL,1,144,0.08333333333333333,12.0,0.0149231990607704,0.01044843624058268
SOL,1,288,0.08333333333333333,24.0,0.011060698883316757,0.008060327626820993
SOL,1,576,0.08333333333333333,48.0,0.023495758965408186,0.016223241466945162
SOL,1,1008,0.08333333333333333,84.0,0.04458510586433031,0.029287485767863747
SOL,1,2016,0.08333333333333333,168.0,0.08784055868673296,0.055409562339483756
SOL,3,72,0.25,6.0,0.02535068391218292,0.017895872191484717
SOL,3,144,0.25,12.0,0.01688957065719128,0.011877723120277217
SOL,3,288,0.25,24.0,0.012719062711947976,0.009249777166195954
SOL,3,576,0.25,48.0,0.024359363892560666,0.016868131328255105
SOL,3,1008,0.25,84.0,0.04471037423418715,0.029376259038526933
SOL,3,2016,0.25,168.0,0.08715568052895767,0.05493276724899888
SOL,6,72,0.5,6.0,0.027143903430431236,0.019189523074893026
SOL,6,144,0.5,12.0,0.018729024311512698,0.013200432849809766
SOL,6,288,0.5,24.0,0.014316610108105598,0.01036644516847672
SOL,6,576,0.5,48.0,0.0252656250300792,0.01750536934738712
SOL,6,1008,0.5,84.0,0.04493965433854961,0.029505500513818287
SOL,6,2016,0.5,168.0,0.08663333371153935,0.05448217589062354
SOL,12,72,1.0,6.0,0.029604130874809537,0.020933978648843606
SOL,12,144,1.0,12.0,0.021227367191451834,0.014979233372083282
SOL,12,288,1.0,24.0,0.01652294134861564,0.011883217433373103
SOL,12,576,1.0,48.0,0.02664282817539262,0.018397325613170243
SOL,12,1008,1.0,84.0,0.04551160267980355,0.029748325579585316
SOL,12,2016,1.0,168.0,0.08615951772569296,0.05393461419926552
SOL,24,72,2.0,6.0,0.03303166179652872,0.023350220606951404
SOL,24,144,2.0,12.0,0.02467145850181919,0.01743843107686075
SOL,24,288,2.0,24.0,0.019605686810265,0.014018011703053217
SOL,24,576,2.0,48.0,0.028715374177931713,0.019700156682508678
SOL,24,1008,2.0,84.0,0.04657746691901264,0.03020882746492555
SOL,24,2016,2.0,168.0,0.08599583518834902,0.053195786577606013
